user_id,segment,signup_date,activation_delay_days,activated,ttv_days,retained_30d,retained_90d,cohort_month,activation_date
1537,B,2024-01-07,11.0,1,11.0,1,0,2024-01-01,2024-01-18
1991,A,2024-01-07,9.0,1,9.0,0,1,2024-01-01,2024-01-16
269,A,2024-01-08,6.0,1,6.0,1,0,2024-01-01,2024-01-14
393,B,2024-01-08,15.0,1,15.0,0,0,2024-01-01,2024-01-23
780,B,2024-01-08,7.0,1,7.0,0,0,2024-01-01,2024-01-15
1297,A,2024-01-08,,0,,0,0,2024-01-01,
160,B,2024-01-08,,0,,0,0,2024-01-01,
120,B,2024-01-08,16.0,1,16.0,0,1,2024-01-01,2024-01-24
1219,B,2024-01-08,8.0,1,8.0,0,1,2024-01-01,2024-01-16
1680,A,2024-01-08,6.0,1,6.0,1,1,2024-01-01,2024-01-14
1603,B,2024-01-08,30.0,1,30.0,1,0,2024-01-01,2024-02-07
913,B,2024-01-09,8.0,1,8.0,1,1,2024-01-01,2024-01-17
320,B,2024-01-09,13.0,1,13.0,0,0,2024-01-01,2024-01-22
341,A,2024-01-09,2.0,1,2.0,1,1,2024-01-01,2024-01-11
299,B,2024-01-09,10.0,1,10.0,1,0,2024-01-01,2024-01-19
1653,A,2024-01-09,6.0,1,6.0,0,0,2024-01-01,2024-01-15
1606,A,2024-01-09,7.0,1,7.0,1,1,2024-01-01,2024-01-16
22,A,2024-01-09,4.0,1,4.0,1,1,2024-01-01,2024-01-13
1584,A,2024-01-10,4.0,1,4.0,1,1,2024-01-01,2024-01-14
244,A,2024-01-10,4.0,1,4.0,1,1,2024-01-01,2024-01-14
724,B,2024-01-10,14.0,1,14.0,0,1,2024-01-01,2024-01-24
537,A,2024-01-10,4.0,1,4.0,1,1,2024-01-01,2024-01-14
593,A,2024-01-11,3.0,1,3.0,1,0,2024-01-01,2024-01-14
700,A,2024-01-11,5.0,1,5.0,1,1,2024-01-01,2024-01-16
1970,A,2024-01-11,11.0,1,11.0,0,1,2024-01-01,2024-01-22
291,B,2024-01-12,,0,,0,0,2024-01-01,
1405,A,2024-01-12,2.0,1,2.0,0,1,2024-01-01,2024-01-14
1760,B,2024-01-12,17.0,1,17.0,0,0,2024-01-01,2024-01-29
1002,A,2024-01-12,5.0,1,5.0,0,1,2024-01-01,2024-01-17
1166,B,2024-01-12,5.0,1,5.0,0,0,2024-01-01,2024-01-17
1093,A,2024-01-12,7.0,1,7.0,1,1,2024-01-01,2024-01-19
505,A,2024-01-12,5.0,1,5.0,1,1,2024-01-01,2024-01-17
737,A,2024-01-12,,0,,0,0,2024-01-01,
1719,B,2024-01-13,7.0,1,7.0,0,0,2024-01-01,2024-01-20
1630,A,2024-01-13,2.0,1,2.0,0,0,2024-01-01,2024-01-15
952,A,2024-01-13,7.0,1,7.0,1,0,2024-01-01,2024-01-20
644,A,2024-01-13,10.0,1,10.0,0,0,2024-01-01,2024-01-23
691,A,2024-01-13,15.0,1,15.0,0,0,2024-01-01,2024-01-28
230,A,2024-01-13,8.0,1,8.0,0,1,2024-01-01,2024-01-21
1114,B,2024-01-14,12.0,1,12.0,0,0,2024-01-01,2024-01-26
231,A,2024-01-14,,0,,0,0,2024-01-01,
563,B,2024-01-14,10.0,1,10.0,0,1,2024-01-01,2024-01-24
46,B,2024-01-14,,0,,0,0,2024-01-01,
1740,B,2024-01-14,7.0,1,7.0,0,0,2024-01-01,2024-01-21
1475,A,2024-01-14,6.0,1,6.0,0,0,2024-01-01,2024-01-20
598,B,2024-01-14,12.0,1,12.0,0,1,2024-01-01,2024-01-26
596,A,2024-01-14,27.0,1,27.0,1,1,2024-01-01,2024-02-10
1120,B,2024-01-15,2.0,1,2.0,1,0,2024-01-01,2024-01-17
680,A,2024-01-15,10.0,1,10.0,0,1,2024-01-01,2024-01-25
1697,A,2024-01-15,23.0,1,23.0,0,1,2024-01-01,2024-02-07
518,B,2024-01-16,2.0,1,2.0,0,1,2024-01-01,2024-01-18
394,B,2024-01-16,4.0,1,4.0,1,0,2024-01-01,2024-01-20
399,A,2024-01-16,10.0,1,10.0,0,0,2024-01-01,2024-01-26
768,A,2024-01-16,14.0,1,14.0,0,1,2024-01-01,2024-01-30
1622,A,2024-01-16,,0,,0,0,2024-01-01,
1646,A,2024-01-16,,0,,0,0,2024-01-01,
275,B,2024-01-16,,0,,0,0,2024-01-01,
347,B,2024-01-16,,0,,0,0,2024-01-01,
969,B,2024-01-16,10.0,1,10.0,1,0,2024-01-01,2024-01-26
484,A,2024-01-16,,0,,0,0,2024-01-01,
551,A,2024-01-16,18.0,1,18.0,1,0,2024-01-01,2024-02-03
1012,B,2024-01-16,,0,,0,0,2024-01-01,
304,A,2024-01-17,2.0,1,2.0,1,0,2024-01-01,2024-01-19
3,B,2024-01-18,8.0,1,8.0,0,1,2024-01-01,2024-01-26
1385,B,2024-01-18,18.0,1,18.0,1,1,2024-01-01,2024-02-05
1017,B,2024-01-18,8.0,1,8.0,1,0,2024-01-01,2024-01-26
1069,A,2024-01-18,16.0,1,16.0,1,1,2024-01-01,2024-02-03
361,B,2024-01-18,22.0,1,22.0,0,0,2024-01-01,2024-02-09
458,A,2024-01-19,,0,,0,0,2024-01-01,
692,B,2024-01-19,21.0,1,21.0,0,0,2024-01-01,2024-02-09
236,B,2024-01-19,23.0,1,23.0,0,0,2024-01-01,2024-02-11
1467,A,2024-01-19,,0,,0,0,2024-01-01,
1838,A,2024-01-19,7.0,1,7.0,1,1,2024-01-01,2024-01-26
388,B,2024-01-20,,0,,0,0,2024-01-01,
1696,A,2024-01-20,,0,,0,0,2024-01-01,
894,A,2024-01-20,3.0,1,3.0,1,1,2024-01-01,2024-01-23
689,B,2024-01-20,5.0,1,5.0,1,0,2024-01-01,2024-01-25
861,B,2024-01-21,7.0,1,7.0,0,0,2024-01-01,2024-01-28
1503,A,2024-01-21,,0,,0,0,2024-01-01,
1083,B,2024-01-21,2.0,1,2.0,1,1,2024-01-01,2024-01-23
751,A,2024-01-21,1.0,1,1.0,1,1,2024-01-01,2024-01-22
1162,B,2024-01-22,2.0,1,2.0,1,1,2024-01-01,2024-01-24
1142,B,2024-01-22,22.0,1,22.0,1,1,2024-01-01,2024-02-13
1508,A,2024-01-22,2.0,1,2.0,0,0,2024-01-01,2024-01-24
1301,A,2024-01-22,10.0,1,10.0,0,0,2024-01-01,2024-02-01
1309,A,2024-01-22,26.0,1,26.0,0,1,2024-01-01,2024-02-17
1548,B,2024-01-23,9.0,1,9.0,0,0,2024-01-01,2024-02-01
552,A,2024-01-23,9.0,1,9.0,1,0,2024-01-01,2024-02-01
648,A,2024-01-23,,0,,0,0,2024-01-01,
945,A,2024-01-23,3.0,1,3.0,0,1,2024-01-01,2024-01-26
1529,A,2024-01-23,5.0,1,5.0,1,0,2024-01-01,2024-01-28
645,B,2024-01-23,,0,,0,0,2024-01-01,
627,B,2024-01-23,5.0,1,5.0,0,0,2024-01-01,2024-01-28
62,A,2024-01-23,2.0,1,2.0,1,0,2024-01-01,2024-01-25
986,B,2024-01-24,12.0,1,12.0,0,1,2024-01-01,2024-02-05
1035,A,2024-01-24,,0,,0,0,2024-01-01,
684,A,2024-01-24,10.0,1,10.0,1,0,2024-01-01,2024-02-03
55,B,2024-01-24,11.0,1,11.0,1,1,2024-01-01,2024-02-04
105,B,2024-01-24,,0,,0,0,2024-01-01,
117,B,2024-01-24,,0,,0,0,2024-01-01,
1359,B,2024-01-25,19.0,1,19.0,0,0,2024-01-01,2024-02-13
1897,B,2024-01-25,,0,,0,0,2024-01-01,
855,A,2024-01-25,5.0,1,5.0,0,0,2024-01-01,2024-01-30
111,A,2024-01-25,2.0,1,2.0,1,0,2024-01-01,2024-01-27
1134,B,2024-01-25,26.0,1,26.0,0,1,2024-01-01,2024-02-20
1844,B,2024-01-25,8.0,1,8.0,1,1,2024-01-01,2024-02-02
697,B,2024-01-25,7.0,1,7.0,1,1,2024-01-01,2024-02-01
1816,A,2024-01-25,19.0,1,19.0,0,0,2024-01-01,2024-02-13
1429,B,2024-01-25,50.0,1,50.0,1,0,2024-01-01,2024-03-15
1170,A,2024-01-26,8.0,1,8.0,1,1,2024-01-01,2024-02-03
1257,B,2024-01-26,36.0,1,36.0,1,0,2024-01-01,2024-03-02
1621,A,2024-01-27,3.0,1,3.0,1,1,2024-01-01,2024-01-30
1462,A,2024-01-27,27.0,1,27.0,0,0,2024-01-01,2024-02-23
1438,A,2024-01-27,3.0,1,3.0,0,1,2024-01-01,2024-01-30
260,B,2024-01-27,20.0,1,20.0,1,0,2024-01-01,2024-02-16
624,A,2024-01-27,12.0,1,12.0,1,0,2024-01-01,2024-02-08
715,B,2024-01-27,,0,,0,0,2024-01-01,
1210,A,2024-01-27,8.0,1,8.0,1,0,2024-01-01,2024-02-04
776,B,2024-01-27,15.0,1,15.0,1,1,2024-01-01,2024-02-11
1916,A,2024-01-27,,0,,0,0,2024-01-01,
1055,A,2024-01-27,16.0,1,16.0,1,0,2024-01-01,2024-02-12
592,A,2024-01-28,9.0,1,9.0,1,0,2024-01-01,2024-02-06
535,A,2024-01-28,7.0,1,7.0,1,1,2024-01-01,2024-02-04
873,B,2024-01-28,13.0,1,13.0,0,0,2024-01-01,2024-02-10
1774,B,2024-01-28,,0,,0,0,2024-01-01,
92,B,2024-01-28,23.0,1,23.0,1,0,2024-01-01,2024-02-20
917,A,2024-02-01,16.0,1,16.0,1,0,2024-02-01,2024-02-17
1212,B,2024-02-01,27.0,1,27.0,1,0,2024-02-01,2024-02-28
1610,A,2024-02-01,4.0,1,4.0,1,0,2024-02-01,2024-02-05
926,A,2024-02-01,4.0,1,4.0,0,1,2024-02-01,2024-02-05
107,A,2024-02-01,25.0,1,25.0,1,1,2024-02-01,2024-02-26
314,A,2024-02-02,11.0,1,11.0,1,0,2024-02-01,2024-02-13
211,B,2024-02-02,1.0,1,1.0,1,1,2024-02-01,2024-02-03
145,A,2024-02-02,13.0,1,13.0,1,1,2024-02-01,2024-02-15
420,B,2024-02-03,4.0,1,4.0,0,0,2024-02-01,2024-02-07
655,B,2024-02-03,5.0,1,5.0,0,1,2024-02-01,2024-02-08
1562,B,2024-02-03,6.0,1,6.0,0,0,2024-02-01,2024-02-09
10,A,2024-02-03,7.0,1,7.0,1,0,2024-02-01,2024-02-10
18,A,2024-02-03,5.0,1,5.0,1,1,2024-02-01,2024-02-08
1125,A,2024-02-03,4.0,1,4.0,1,0,2024-02-01,2024-02-07
1526,A,2024-02-03,6.0,1,6.0,0,0,2024-02-01,2024-02-09
1188,B,2024-02-03,15.0,1,15.0,1,0,2024-02-01,2024-02-18
513,A,2024-02-03,1.0,1,1.0,0,0,2024-02-01,2024-02-04
16,A,2024-02-04,8.0,1,8.0,0,1,2024-02-01,2024-02-12
557,A,2024-02-04,3.0,1,3.0,1,1,2024-02-01,2024-02-07
729,A,2024-02-04,7.0,1,7.0,1,1,2024-02-01,2024-02-11
763,A,2024-02-04,,0,,0,0,2024-02-01,
1089,A,2024-02-04,,0,,0,0,2024-02-01,
418,B,2024-02-04,,0,,0,0,2024-02-01,
779,B,2024-02-04,11.0,1,11.0,1,0,2024-02-01,2024-02-15
1782,B,2024-02-04,9.0,1,9.0,0,1,2024-02-01,2024-02-13
71,A,2024-02-04,3.0,1,3.0,0,0,2024-02-01,2024-02-07
957,B,2024-02-05,17.0,1,17.0,0,1,2024-02-01,2024-02-22
461,B,2024-02-05,45.0,1,45.0,1,0,2024-02-01,2024-03-21
1159,A,2024-02-05,1.0,1,1.0,0,1,2024-02-01,2024-02-06
303,A,2024-02-05,1.0,1,1.0,1,0,2024-02-01,2024-02-06
1755,A,2024-02-05,19.0,1,19.0,0,0,2024-02-01,2024-02-24
1507,B,2024-02-05,4.0,1,4.0,1,0,2024-02-01,2024-02-09
183,A,2024-02-05,7.0,1,7.0,1,1,2024-02-01,2024-02-12
368,B,2024-02-05,,0,,0,0,2024-02-01,
553,A,2024-02-06,7.0,1,7.0,1,1,2024-02-01,2024-02-13
1482,A,2024-02-06,13.0,1,13.0,1,0,2024-02-01,2024-02-19
884,A,2024-02-06,12.0,1,12.0,1,0,2024-02-01,2024-02-18
382,B,2024-02-06,33.0,1,33.0,1,1,2024-02-01,2024-03-10
671,A,2024-02-06,5.0,1,5.0,1,1,2024-02-01,2024-02-11
300,B,2024-02-06,,0,,0,0,2024-02-01,
978,A,2024-02-06,35.0,1,35.0,0,0,2024-02-01,2024-03-12
2000,A,2024-02-06,12.0,1,12.0,0,0,2024-02-01,2024-02-18
204,A,2024-02-06,8.0,1,8.0,1,0,2024-02-01,2024-02-14
1937,A,2024-02-06,2.0,1,2.0,1,1,2024-02-01,2024-02-08
101,B,2024-02-06,,0,,0,0,2024-02-01,
1753,B,2024-02-06,17.0,1,17.0,0,0,2024-02-01,2024-02-23
668,B,2024-02-07,4.0,1,4.0,0,0,2024-02-01,2024-02-11
1535,A,2024-02-07,4.0,1,4.0,0,0,2024-02-01,2024-02-11
532,B,2024-02-07,,0,,0,0,2024-02-01,
118,B,2024-02-07,5.0,1,5.0,0,1,2024-02-01,2024-02-12
1456,A,2024-02-07,1.0,1,1.0,0,1,2024-02-01,2024-02-08
832,B,2024-02-07,,0,,0,0,2024-02-01,
1780,A,2024-02-08,4.0,1,4.0,1,1,2024-02-01,2024-02-12
221,A,2024-02-08,16.0,1,16.0,1,0,2024-02-01,2024-02-24
1847,A,2024-02-08,7.0,1,7.0,0,1,2024-02-01,2024-02-15
238,B,2024-02-08,4.0,1,4.0,1,0,2024-02-01,2024-02-12
21,B,2024-02-08,,0,,0,0,2024-02-01,
1565,B,2024-02-08,30.0,1,30.0,1,1,2024-02-01,2024-03-09
1105,A,2024-02-08,19.0,1,19.0,0,0,2024-02-01,2024-02-27
1827,A,2024-02-08,14.0,1,14.0,1,1,2024-02-01,2024-02-22
198,B,2024-02-08,12.0,1,12.0,1,0,2024-02-01,2024-02-20
1832,B,2024-02-09,13.0,1,13.0,1,1,2024-02-01,2024-02-22
611,B,2024-02-10,9.0,1,9.0,0,0,2024-02-01,2024-02-19
1732,A,2024-02-10,11.0,1,11.0,0,0,2024-02-01,2024-02-21
434,B,2024-02-10,5.0,1,5.0,1,0,2024-02-01,2024-02-15
1893,B,2024-02-10,20.0,1,20.0,0,0,2024-02-01,2024-03-01
1921,A,2024-02-10,,0,,0,0,2024-02-01,
1846,B,2024-02-10,4.0,1,4.0,1,0,2024-02-01,2024-02-14
1251,A,2024-02-10,3.0,1,3.0,0,0,2024-02-01,2024-02-13
1903,B,2024-02-10,,0,,0,0,2024-02-01,
1761,A,2024-02-10,10.0,1,10.0,1,1,2024-02-01,2024-02-20
459,B,2024-02-10,8.0,1,8.0,1,0,2024-02-01,2024-02-18
849,A,2024-02-10,2.0,1,2.0,1,0,2024-02-01,2024-02-12
1728,B,2024-02-10,,0,,0,0,2024-02-01,
1353,A,2024-02-11,11.0,1,11.0,0,0,2024-02-01,2024-02-22
1881,A,2024-02-11,6.0,1,6.0,1,1,2024-02-01,2024-02-17
1179,A,2024-02-11,2.0,1,2.0,1,0,2024-02-01,2024-02-13
752,A,2024-02-12,4.0,1,4.0,1,1,2024-02-01,2024-02-16
1392,B,2024-02-12,3.0,1,3.0,1,0,2024-02-01,2024-02-15
1366,A,2024-02-12,22.0,1,22.0,1,1,2024-02-01,2024-03-05
848,B,2024-02-12,17.0,1,17.0,1,0,2024-02-01,2024-02-29
1902,A,2024-02-12,,0,,0,0,2024-02-01,
113,A,2024-02-13,5.0,1,5.0,0,0,2024-02-01,2024-02-18
1052,A,2024-02-13,6.0,1,6.0,1,1,2024-02-01,2024-02-19
1801,B,2024-02-13,12.0,1,12.0,1,0,2024-02-01,2024-02-25
758,B,2024-02-13,10.0,1,10.0,0,0,2024-02-01,2024-02-23
285,B,2024-02-14,,0,,0,0,2024-02-01,
1136,A,2024-02-14,,0,,0,0,2024-02-01,
61,B,2024-02-14,20.0,1,20.0,1,0,2024-02-01,2024-03-05
663,A,2024-02-14,3.0,1,3.0,0,0,2024-02-01,2024-02-17
1824,B,2024-02-14,15.0,1,15.0,0,0,2024-02-01,2024-02-29
843,A,2024-02-14,12.0,1,12.0,1,1,2024-02-01,2024-02-26
1176,B,2024-02-14,13.0,1,13.0,0,0,2024-02-01,2024-02-27
631,B,2024-02-14,,0,,0,0,2024-02-01,
528,B,2024-02-14,17.0,1,17.0,0,1,2024-02-01,2024-03-02
769,A,2024-02-15,14.0,1,14.0,1,0,2024-02-01,2024-02-29
466,B,2024-02-15,15.0,1,15.0,0,0,2024-02-01,2024-03-01
143,B,2024-02-15,8.0,1,8.0,1,0,2024-02-01,2024-02-23
1042,B,2024-02-15,13.0,1,13.0,0,0,2024-02-01,2024-02-28
1946,B,2024-02-15,11.0,1,11.0,0,0,2024-02-01,2024-02-26
1457,A,2024-02-16,10.0,1,10.0,0,0,2024-02-01,2024-02-26
1829,B,2024-02-16,15.0,1,15.0,1,0,2024-02-01,2024-03-02
1231,A,2024-02-17,2.0,1,2.0,1,0,2024-02-01,2024-02-19
379,A,2024-02-17,5.0,1,5.0,1,1,2024-02-01,2024-02-22
1151,A,2024-02-17,11.0,1,11.0,1,1,2024-02-01,2024-02-28
1966,A,2024-02-17,4.0,1,4.0,1,1,2024-02-01,2024-02-21
572,B,2024-02-18,16.0,1,16.0,0,1,2024-02-01,2024-03-05
1661,A,2024-02-18,12.0,1,12.0,0,1,2024-02-01,2024-03-01
1792,A,2024-02-18,,0,,0,0,2024-02-01,
583,A,2024-02-18,14.0,1,14.0,0,0,2024-02-01,2024-03-03
1034,B,2024-02-18,,0,,0,0,2024-02-01,
1876,B,2024-02-19,11.0,1,11.0,1,0,2024-02-01,2024-03-01
853,B,2024-02-19,1.0,1,1.0,1,1,2024-02-01,2024-02-20
720,B,2024-02-19,,0,,0,0,2024-02-01,
1547,A,2024-02-19,9.0,1,9.0,0,0,2024-02-01,2024-02-28
1075,B,2024-02-20,10.0,1,10.0,1,0,2024-02-01,2024-03-01
1381,A,2024-02-20,10.0,1,10.0,0,0,2024-02-01,2024-03-01
798,A,2024-02-20,,0,,0,0,2024-02-01,
1926,A,2024-02-20,7.0,1,7.0,0,0,2024-02-01,2024-02-27
1806,B,2024-02-20,13.0,1,13.0,1,1,2024-02-01,2024-03-04
258,A,2024-02-20,13.0,1,13.0,0,0,2024-02-01,2024-03-04
1158,A,2024-02-21,5.0,1,5.0,0,0,2024-02-01,2024-02-26
432,B,2024-02-21,,0,,0,0,2024-02-01,
1985,B,2024-02-21,,0,,0,0,2024-02-01,
1367,A,2024-02-21,3.0,1,3.0,1,1,2024-02-01,2024-02-24
294,A,2024-02-21,5.0,1,5.0,1,1,2024-02-01,2024-02-26
44,A,2024-02-21,11.0,1,11.0,1,0,2024-02-01,2024-03-03
1762,A,2024-02-21,10.0,1,10.0,1,0,2024-02-01,2024-03-02
837,B,2024-02-21,,0,,0,0,2024-02-01,
402,B,2024-02-22,7.0,1,7.0,1,0,2024-02-01,2024-02-29
1211,B,2024-02-22,49.0,1,49.0,1,0,2024-02-01,2024-04-11
1428,A,2024-02-22,2.0,1,2.0,1,0,2024-02-01,2024-02-24
26,A,2024-02-22,5.0,1,5.0,0,1,2024-02-01,2024-02-27
698,B,2024-02-22,20.0,1,20.0,0,1,2024-02-01,2024-03-13
1557,B,2024-02-23,19.0,1,19.0,0,0,2024-02-01,2024-03-13
1620,A,2024-02-23,3.0,1,3.0,1,1,2024-02-01,2024-02-26
1639,A,2024-02-23,5.0,1,5.0,1,1,2024-02-01,2024-02-28
1479,A,2024-02-23,,0,,0,0,2024-02-01,
1885,A,2024-02-23,4.0,1,4.0,1,0,2024-02-01,2024-02-27
1564,B,2024-02-24,,0,,0,0,2024-02-01,
367,B,2024-02-24,9.0,1,9.0,1,0,2024-02-01,2024-03-04
966,A,2024-02-24,14.0,1,14.0,0,0,2024-02-01,2024-03-09
411,B,2024-02-24,9.0,1,9.0,0,0,2024-02-01,2024-03-04
1995,A,2024-02-24,22.0,1,22.0,1,0,2024-02-01,2024-03-17
954,A,2024-02-24,4.0,1,4.0,1,0,2024-02-01,2024-02-28
128,A,2024-02-25,,0,,0,0,2024-02-01,
842,B,2024-02-25,5.0,1,5.0,0,0,2024-02-01,2024-03-01
1318,A,2024-02-25,3.0,1,3.0,0,0,2024-02-01,2024-02-28
1194,B,2024-02-25,7.0,1,7.0,1,0,2024-02-01,2024-03-03
635,A,2024-02-25,3.0,1,3.0,0,0,2024-02-01,2024-02-28
727,A,2024-02-25,5.0,1,5.0,1,1,2024-02-01,2024-03-01
657,B,2024-02-25,6.0,1,6.0,0,1,2024-02-01,2024-03-02
1229,B,2024-02-26,32.0,1,32.0,0,1,2024-02-01,2024-03-29
916,B,2024-02-26,,0,,0,0,2024-02-01,
1764,A,2024-02-26,1.0,1,1.0,1,1,2024-02-01,2024-02-27
98,A,2024-02-26,1.0,1,1.0,1,1,2024-02-01,2024-02-27
766,A,2024-02-26,35.0,1,35.0,1,0,2024-02-01,2024-04-01
1929,A,2024-02-27,8.0,1,8.0,1,0,2024-02-01,2024-03-06
1560,B,2024-02-27,46.0,1,46.0,0,1,2024-02-01,2024-04-13
1906,A,2024-02-27,6.0,1,6.0,1,0,2024-02-01,2024-03-04
220,A,2024-02-27,3.0,1,3.0,0,1,2024-02-01,2024-03-01
1778,A,2024-02-27,15.0,1,15.0,0,0,2024-02-01,2024-03-13
474,A,2024-02-27,17.0,1,17.0,0,0,2024-02-01,2024-03-15
1542,A,2024-02-27,5.0,1,5.0,0,0,2024-02-01,2024-03-03
1028,A,2024-02-28,4.0,1,4.0,1,0,2024-02-01,2024-03-03
1750,A,2024-02-28,9.0,1,9.0,0,1,2024-02-01,2024-03-08
1914,A,2024-02-28,17.0,1,17.0,0,0,2024-02-01,2024-03-16
348,A,2024-02-28,9.0,1,9.0,0,1,2024-02-01,2024-03-08
1978,B,2024-02-28,4.0,1,4.0,1,0,2024-02-01,2024-03-03
70,A,2024-02-28,3.0,1,3.0,1,0,2024-02-01,2024-03-02
1026,A,2024-02-28,13.0,1,13.0,0,0,2024-02-01,2024-03-12
1969,A,2024-03-01,10.0,1,10.0,0,0,2024-03-01,2024-03-11
564,B,2024-03-01,,0,,0,0,2024-03-01,
155,A,2024-03-01,,0,,0,0,2024-03-01,
9,A,2024-03-02,5.0,1,5.0,1,1,2024-03-01,2024-03-07
706,B,2024-03-02,2.0,1,2.0,0,0,2024-03-01,2024-03-04
331,B,2024-03-02,5.0,1,5.0,1,0,2024-03-01,2024-03-07
1911,A,2024-03-02,,0,,0,0,2024-03-01,
1320,B,2024-03-02,7.0,1,7.0,1,0,2024-03-01,2024-03-09
886,A,2024-03-02,8.0,1,8.0,1,1,2024-03-01,2024-03-10
1772,B,2024-03-02,16.0,1,16.0,1,0,2024-03-01,2024-03-18
1972,B,2024-03-03,31.0,1,31.0,0,0,2024-03-01,2024-04-03
578,B,2024-03-03,58.0,1,58.0,0,1,2024-03-01,2024-04-30
1502,B,2024-03-03,,0,,0,0,2024-03-01,
372,A,2024-03-03,,0,,0,0,2024-03-01,
1918,B,2024-03-03,1.0,1,1.0,1,0,2024-03-01,2024-03-04
1175,A,2024-03-04,13.0,1,13.0,0,0,2024-03-01,2024-03-17
164,A,2024-03-04,2.0,1,2.0,1,0,2024-03-01,2024-03-06
1748,A,2024-03-04,5.0,1,5.0,1,1,2024-03-01,2024-03-09
796,A,2024-03-04,4.0,1,4.0,1,0,2024-03-01,2024-03-08
261,A,2024-03-04,6.0,1,6.0,1,0,2024-03-01,2024-03-10
1655,B,2024-03-04,16.0,1,16.0,1,1,2024-03-01,2024-03-20
1036,B,2024-03-05,8.0,1,8.0,0,0,2024-03-01,2024-03-13
200,A,2024-03-05,6.0,1,6.0,1,0,2024-03-01,2024-03-11
1612,B,2024-03-05,7.0,1,7.0,0,0,2024-03-01,2024-03-12
1940,A,2024-03-05,19.0,1,19.0,0,1,2024-03-01,2024-03-24
871,B,2024-03-05,9.0,1,9.0,1,1,2024-03-01,2024-03-14
1573,B,2024-03-06,12.0,1,12.0,1,0,2024-03-01,2024-03-18
570,A,2024-03-06,17.0,1,17.0,0,1,2024-03-01,2024-03-23
1493,B,2024-03-06,7.0,1,7.0,1,1,2024-03-01,2024-03-13
1884,B,2024-03-06,,0,,0,0,2024-03-01,
1260,B,2024-03-06,13.0,1,13.0,1,1,2024-03-01,2024-03-19
1088,B,2024-03-07,,0,,0,0,2024-03-01,
1276,A,2024-03-07,,0,,0,0,2024-03-01,
1216,A,2024-03-07,7.0,1,7.0,1,0,2024-03-01,2024-03-14
1277,A,2024-03-08,1.0,1,1.0,1,0,2024-03-01,2024-03-09
1474,A,2024-03-08,18.0,1,18.0,1,1,2024-03-01,2024-03-26
